"area";"par";"f.anova";"p.anova";"p.unif.strat";"p.rand.strat";"p.rand.unif";"d.strat.unif";"d.strat.unif.low";"d.strat.unif.high";"d.strat.rand";"d.strat.rand.low";"d.strat.rand.high";"d.unif.rand";"d.unif.rand.low";"d.unif.rand.high";"m.unif";"sd.unif";"m.strat";"sd.strat";"m.rand";"sd.rand"
"CH";"a";2,61339579115942;0,0789798024490714;0,977;0,0602;0,522;-0,214816405036908;-0,62;0,32;-0,482959519118295;-0,87;0,06;-0,287277509086873;-0,69;0,15;0,368197521102941;0,280239521759825;0,306345769039176;0,295417301157988;0,453870128419586;0,315181042322704
"CH";"b";4,6801034128389;0,0121581492701695;0,0691;0,243;1;-0,647689967025998;-1,84;0,0061;-0,314869536294705;-0,65;0,15;0,111195988632549;-0,36;0,79;0,246716622615955;0,112303277593895;0,133124020863401;0,221144882586297;0,219958433257265;0,321252357990331
"CH";"c";30,7220190106628;1,05140064476019e-10;5,47e-13;1;3,51e-14;-1,54164647888182;-1,91;-1,15;0,154454563511003;-0,25;0,63;1,61624015054495;1,11;2,03;0,0590205010966096;0,0328621545258281;0,0197189521507282;0,0148286343482883;0,0173531564986211;0,0157904582664611
"CN";"a";2,7102790403813;0,0724863675316127;1;0,472;0,0898;0,176101403284541;-0,24;0,55;-0,27238581960048;-0,71;0,16;-0,497445305401651;-0,92;-0,08;0,353460892078929;0,258022830531195;0,412429737075884;0,397093284238113;0,521071995253662;0,4006075949116
"CN";"b";3,92310099955277;0,0239217638385319;0,55;0,00656;0,228;-0,414290592169339;-1,05;0,14;-0,569294158308199;-0,89;-0,05;-0,354802389184668;-0,62;0,07;0,263077554505178;0,176236990526031;0,164167957346047;0,287990257703151;0,395322740415288;0,496784190725317
"CN";"c";8,92042576842033;0,000303741271644232;0,00456;1;0,00113;-0,728506582607181;-1,3;-0,16;0,0832072578105085;-0,32;0,51;0,785325150133126;0,21;1,45;0,0514898244231789;0,0286485749868669;0,0288603395204554;0,0333025443890313;0,025978645558614;0,0359136690702002
"LC";"a";1,88369570091332;0,15765622576605;1;0,105;0,742;-0,215924832274153;-0,64;0,24;-0,389033867851164;-0,79;0,02;-0,232406826973486;-0,58;0,16;0,380667511064582;0,253858602295587;0,317484533649577;0,326808208858595;0,456543456170128;0,385659002298664
"LC";"b";3,35818072569152;0,0390250409702719;0,147;0,154;1;-0,408049713821966;-0,73;0,19;-0,4325003759264;-0,73;0,11;0,00343114331645263;-0,4;0,4;0,327939994209432;0,469144685365646;0,167565843316394;0,298064008595103;0,326403610917375;0,425334903702871
"LC";"c";5,86849362431578;0,00391931798450886;0,019;1;0,0112;-0,560145360640802;-1,05;-0,14;0,0340361068699917;-0,34;0,46;0,605313013667856;0,09;1,06;0,0542696534146999;0,0308175638635059;0,0357715597919248;0,035091484699215;0,0345937730407747;0,0341096270436271
"MT";"a";0,417006533086219;0,660372529206128;1;1;1;0,160088260076713;-0,28;0,57;-0,00502089601403359;-0,43;0,39;-0,161619539397621;-0,58;0,24;0,294017056693479;0,288619163256642;0,348193900470422;0,38177646229946;0,350150479421525;0,397440528294094
"MT";"b";3,18127744125996;0,0474615233219209;0,682;0,0311;0,503;-0,435260735049347;-1,12;0,16;-0,464721566963925;-0,73;0,05;-0,267588681558658;-0,56;0,13;0,271797702494467;0,131344187483418;0,184658325088394;0,250816890102146;0,371489226846388;0,510238462951895
"MT";"c";7,92392994215456;0,000695636468639094;0,00778;1;0,000353;-0,648592343429722;-1,13;-0,09;0,200493701318067;-0,26;0,63;0,821093540998066;0,22;1,32;0,033333922567017;0,0227362982327374;0,0195512972748528;0,0196517358506881;0,015513042187228;0,0206197435523027
